id,name,base_experience,height,weight,ability_1_name,ability_1_description,ability_1_is_hidden,ability_2_name,ability_2_description,ability_2_is_hidden,hp,attack,defense,special-attack,special-defense,speed,total,type_1,type_2,base_happiness,capture_rate,pre_evolution,evolution_1,evolution_2,evolution_3,gender_rate,generation,growth_rate,ability_3_name,ability_3_description,ability_3_is_hidden,url_sprite,url_cry,url_type_1_tag,url_type_2_tag
34,nidoking,253,14,620,poison-point,"Whenever a move makes contact with this Pokémon, the move's user has a 30% chance of being poisoned.",False,rivalry,"This Pokémon inflicts 1.25× as much regular damage against Pokémon of the same gender and 0.75× as much regular damage against Pokémon of the opposite gender. If either Pokémon is genderless, damage is unaffected.",False,81,102,77,85,75,85,505,poison,ground,50,45,nidorino,,,,0.0,generation-i,medium-slow,sheer-force,"This Pokémon's moves with extra effects have 1.3× their power, but lose their extra effects. An effect chance is a move's chance to inflict a status ailment, cause a stat change, or make the target flinch in addition to the move's main effect. For example, thunder shock's paralysis is an extra effect, but thunder wave's is not, nor are knock off's item removal and air cutter's increased critical hit rate. Moves that lower the user's stats are unaffected.",True,https://github.com/Nackha1/Hd-sprites/blob/master/Nidoking.gif?raw=true,https://raw.githubusercontent.com/mhirokitomida/pokedash/main/pokemon_cries/034 - Nidoking.wav,https://raw.githubusercontent.com/mhirokitomida/pokedash/main/imagens/types_tag/poison.png,https://raw.githubusercontent.com/mhirokitomida/pokedash/main/imagens/types_tag/ground.png
35,clefairy,113,6,75,cute-charm,"Whenever a move makes contact with this Pokémon, the move's user has a 30% chance of being infatuated. Overworld: If the first Pokémon in the party has this ability, any wild Pokémon whose species can be either gender has a 2/3 chance of being set to the opposite gender, and a 1/3 chance of having a random gender as usual.",False,magic-guard,"This Pokémon is immune to damage not directly caused by a move. For example, this Pokémon takes no damage from from weather, recoil, status ailments, or spikes, but it still suffers from the Attack cut when burned, and a life orb will still power up this Pokémon's moves without damaging it. Anything that directly depends on such damage will also not happen; for example, leech seed will neither hurt this Pokémon nor heal the opponent, and Pokémon with a jaboca berry or rowap berry will not consume the berry when hit by this Pokémon. The following are unaffected: struggle, pain split (whether used by or against this Pokémon), belly drum, substitute, curse, moves that knock the user out, and damage from confusion. This Pokémon will neither lose nor regain HP if it drains HP from a Pokémon with liquid ooze. If this Pokémon is badly poisoned, the poison counter is still increased each turn; if the Pokémon loses this ability, it will begin taking as much damage as it would be if it had been taking increasing damage each turn.",False,70,45,48,60,65,35,323,normal,,140,150,,clefable,,,0.75,generation-i,fast,friend-guard,All friendly Pokémon take 0.75× as much direct damage from moves while this Pokémon is in battle. This effect stacks if multiple allied Pokémon have it.,True,https://github.com/Nackha1/Hd-sprites/blob/master/Clefairy.gif?raw=true,https://raw.githubusercontent.com/mhirokitomida/pokedash/main/pokemon_cries/035 - Clefairy.wav,https://raw.githubusercontent.com/mhirokitomida/pokedash/main/imagens/types_tag/normal.png,
36,clefable,242,13,400,cute-charm,"Whenever a move makes contact with this Pokémon, the move's user has a 30% chance of being infatuated. Overworld: If the first Pokémon in the party has this ability, any wild Pokémon whose species can be either gender has a 2/3 chance of being set to the opposite gender, and a 1/3 chance of having a random gender as usual.",False,magic-guard,"This Pokémon is immune to damage not directly caused by a move. For example, this Pokémon takes no damage from from weather, recoil, status ailments, or spikes, but it still suffers from the Attack cut when burned, and a life orb will still power up this Pokémon's moves without damaging it. Anything that directly depends on such damage will also not happen; for example, leech seed will neither hurt this Pokémon nor heal the opponent, and Pokémon with a jaboca berry or rowap berry will not consume the berry when hit by this Pokémon. The following are unaffected: struggle, pain split (whether used by or against this Pokémon), belly drum, substitute, curse, moves that knock the user out, and damage from confusion. This Pokémon will neither lose nor regain HP if it drains HP from a Pokémon with liquid ooze. If this Pokémon is badly poisoned, the poison counter is still increased each turn; if the Pokémon loses this ability, it will begin taking as much damage as it would be if it had been taking increasing damage each turn.",False,95,70,73,95,90,60,483,normal,,140,25,clefairy,,,,0.75,generation-i,fast,unaware,"This Pokémon ignores other Pokémon's stat modifiers for the purposes of damage and accuracy calculation. Effectively, this affects modifiers of every stat except Speed. The power of punishment and stored power is calculated as usual. When this Pokémon hurts itself in confusion, its stat modifiers affect damage as usual.",True,https://github.com/Nackha1/Hd-sprites/blob/master/Clefable.gif?raw=true,https://raw.githubusercontent.com/mhirokitomida/pokedash/main/pokemon_cries/036 - Clefable.wav,https://raw.githubusercontent.com/mhirokitomida/pokedash/main/imagens/types_tag/normal.png,
37,vulpix,60,6,99,flash-fire,"This Pokémon is immune to fire-type moves. Once this Pokémon has been hit by a Fire move, its own Fire moves will inflict 1.5× as much damage until it leaves battle. This ability has no effect while the Pokémon is frozen. The Fire damage bonus is retained even if the Pokémon is frozen and thawed or the ability is lost or disabled. Fire moves will ignore this Pokémon's substitute. This ability takes effect even on non-damaging moves, i.e. will o wisp.",False,drought,"The weather changes to strong sunlight when this Pokémon enters battle and does not end unless cancelled by another weather condition. If multiple Pokémon with this ability, drizzle, sand stream, or snow warning are sent out at the same time, the abilities will activate in order of Speed, respecting trick room. Each ability's weather will cancel the previous weather, and only the weather summoned by the slowest of the Pokémon will stay.",True,38,41,40,50,65,65,299,fire,,50,190,,ninetales,,,0.75,generation-i,medium,,,,https://github.com/Nackha1/Hd-sprites/blob/master/Vulpix.gif?raw=true,https://raw.githubusercontent.com/mhirokitomida/pokedash/main/pokemon_cries/037 - Vulpix.wav,https://raw.githubusercontent.com/mhirokitomida/pokedash/main/imagens/types_tag/fire.png,
38,ninetales,177,11,199,flash-fire,"This Pokémon is immune to fire-type moves. Once this Pokémon has been hit by a Fire move, its own Fire moves will inflict 1.5× as much damage until it leaves battle. This ability has no effect while the Pokémon is frozen. The Fire damage bonus is retained even if the Pokémon is frozen and thawed or the ability is lost or disabled. Fire moves will ignore this Pokémon's substitute. This ability takes effect even on non-damaging moves, i.e. will o wisp.",False,drought,"The weather changes to strong sunlight when this Pokémon enters battle and does not end unless cancelled by another weather condition. If multiple Pokémon with this ability, drizzle, sand stream, or snow warning are sent out at the same time, the abilities will activate in order of Speed, respecting trick room. Each ability's weather will cancel the previous weather, and only the weather summoned by the slowest of the Pokémon will stay.",True,73,76,75,81,100,100,505,fire,,50,75,vulpix,,,,0.75,generation-i,medium,,,,https://github.com/Nackha1/Hd-sprites/blob/master/Ninetales.gif?raw=true,https://raw.githubusercontent.com/mhirokitomida/pokedash/main/pokemon_cries/038 - Ninetales.wav,https://raw.githubusercontent.com/mhirokitomida/pokedash/main/imagens/types_tag/fire.png,
39,jigglypuff,95,5,55,cute-charm,"Whenever a move makes contact with this Pokémon, the move's user has a 30% chance of being infatuated. Overworld: If the first Pokémon in the party has this ability, any wild Pokémon whose species can be either gender has a 2/3 chance of being set to the opposite gender, and a 1/3 chance of having a random gender as usual.",False,competitive,Raises Special Attack by two stages upon having any stat lowered.,False,115,45,20,45,25,20,270,normal,,50,170,,wigglytuff,,,0.75,generation-i,fast,friend-guard,All friendly Pokémon take 0.75× as much direct damage from moves while this Pokémon is in battle. This effect stacks if multiple allied Pokémon have it.,True,https://github.com/Nackha1/Hd-sprites/blob/master/Jigglypuff.gif?raw=true,https://raw.githubusercontent.com/mhirokitomida/pokedash/main/pokemon_cries/039 - Jigglypuff.wav,https://raw.githubusercontent.com/mhirokitomida/pokedash/main/imagens/types_tag/normal.png,
40,wigglytuff,218,10,120,cute-charm,"Whenever a move makes contact with this Pokémon, the move's user has a 30% chance of being infatuated. Overworld: If the first Pokémon in the party has this ability, any wild Pokémon whose species can be either gender has a 2/3 chance of being set to the opposite gender, and a 1/3 chance of having a random gender as usual.",False,competitive,Raises Special Attack by two stages upon having any stat lowered.,False,140,70,45,85,50,45,435,normal,,50,50,jigglypuff,,,,0.75,generation-i,fast,frisk,"When this Pokémon enters battle, it reveals an opposing Pokémon's held item to all participating trainers. In a double battle, if one opponent has an item, this Pokémon will Frisk that Pokémon; if both have an item, it will Frisk one at random.",True,https://github.com/Nackha1/Hd-sprites/blob/master/Wigglytuff.gif?raw=true,https://raw.githubusercontent.com/mhirokitomida/pokedash/main/pokemon_cries/040 - Wigglytuff.wav,https://raw.githubusercontent.com/mhirokitomida/pokedash/main/imagens/types_tag/normal.png,
41,zubat,49,8,75,inner-focus,This Pokémon cannot flinch.,False,infiltrator,"This Pokémon's moves ignore light screen, reflect, and safeguard.",True,40,45,35,30,40,55,245,poison,flying,50,255,,golbat,,,0.5,generation-i,medium,,,,https://github.com/Nackha1/Hd-sprites/blob/master/Zubat.gif?raw=true,https://raw.githubusercontent.com/mhirokitomida/pokedash/main/pokemon_cries/041 - Zubat.wav,https://raw.githubusercontent.com/mhirokitomida/pokedash/main/imagens/types_tag/poison.png,https://raw.githubusercontent.com/mhirokitomida/pokedash/main/imagens/types_tag/flying.png
42,golbat,159,16,550,inner-focus,This Pokémon cannot flinch.,False,infiltrator,"This Pokémon's moves ignore light screen, reflect, and safeguard.",True,75,80,70,65,75,90,455,poison,flying,50,90,zubat,,,,0.5,generation-i,medium,,,,https://github.com/Nackha1/Hd-sprites/blob/master/Golbat.gif?raw=true,https://raw.githubusercontent.com/mhirokitomida/pokedash/main/pokemon_cries/042 - Golbat.wav,https://raw.githubusercontent.com/mhirokitomida/pokedash/main/imagens/types_tag/poison.png,https://raw.githubusercontent.com/mhirokitomida/pokedash/main/imagens/types_tag/flying.png
43,oddish,64,5,54,chlorophyll,This Pokémon's Speed is doubled during strong sunlight. This bonus does not count as a stat modifier.,False,run-away,"This Pokémon is always successful fleeing from wild battles, even if trapped by a move or ability.",True,45,50,55,75,65,30,320,grass,poison,50,255,,gloom,,,0.5,generation-i,medium-slow,,,,https://github.com/Nackha1/Hd-sprites/blob/master/Oddish.gif?raw=true,https://raw.githubusercontent.com/mhirokitomida/pokedash/main/pokemon_cries/043 - Oddish.wav,https://raw.githubusercontent.com/mhirokitomida/pokedash/main/imagens/types_tag/grass.png,https://raw.githubusercontent.com/mhirokitomida/pokedash/main/imagens/types_tag/poison.png
44,gloom,138,8,86,chlorophyll,This Pokémon's Speed is doubled during strong sunlight. This bonus does not count as a stat modifier.,False,stench,This Pokémon's damaging moves have a 10% chance to make the target flinch with each hit if they do not already cause flinching as a secondary effect. This ability does not stack with a held item. Overworld: The wild encounter rate is halved while this Pokémon is first in the party.,True,60,65,70,85,75,40,395,grass,poison,50,120,oddish,vileplume,,,0.5,generation-i,medium-slow,,,,https://github.com/Nackha1/Hd-sprites/blob/master/Gloom.gif?raw=true,https://raw.githubusercontent.com/mhirokitomida/pokedash/main/pokemon_cries/044 - Gloom.wav,https://raw.githubusercontent.com/mhirokitomida/pokedash/main/imagens/types_tag/grass.png,https://raw.githubusercontent.com/mhirokitomida/pokedash/main/imagens/types_tag/poison.png
45,vileplume,245,12,186,chlorophyll,This Pokémon's Speed is doubled during strong sunlight. This bonus does not count as a stat modifier.,False,effect-spore,"Whenever a move makes contact with this Pokémon, the move's user has a 30% chance of being paralyzed, poisoned, or put to sleep, chosen at random. Nothing is done to compensate if the move's user is immune to one of these ailments; there is simply a lower chance that the move's user will be affected.",True,75,80,85,110,90,50,490,grass,poison,50,45,gloom,,,,0.5,generation-i,medium-slow,,,,https://github.com/Nackha1/Hd-sprites/blob/master/Vileplume.gif?raw=true,https://raw.githubusercontent.com/mhirokitomida/pokedash/main/pokemon_cries/045 - Vileplume.wav,https://raw.githubusercontent.com/mhirokitomida/pokedash/main/imagens/types_tag/grass.png,https://raw.githubusercontent.com/mhirokitomida/pokedash/main/imagens/types_tag/poison.png
46,paras,57,3,54,effect-spore,"Whenever a move makes contact with this Pokémon, the move's user has a 30% chance of being paralyzed, poisoned, or put to sleep, chosen at random. Nothing is done to compensate if the move's user is immune to one of these ailments; there is simply a lower chance that the move's user will be affected.",False,dry-skin,"This Pokémon takes 1/8 of its maximum HP in damage after each turn during strong sunlight, but it heals for 1/8 of its HP each turn during rain. This Pokémon takes 1.25× as much damage from fire-type moves, but whenever a water move hits it, it heals for 1/4 its maximum HP instead.",False,35,70,55,45,55,25,285,bug,grass,70,190,,parasect,,,0.5,generation-i,medium,damp,"While this Pokémon is in battle, self destruct and explosion will fail and aftermath will not take effect.",True,https://github.com/Nackha1/Hd-sprites/blob/master/Paras.gif?raw=true,https://raw.githubusercontent.com/mhirokitomida/pokedash/main/pokemon_cries/046 - Paras.wav,https://raw.githubusercontent.com/mhirokitomida/pokedash/main/imagens/types_tag/bug.png,https://raw.githubusercontent.com/mhirokitomida/pokedash/main/imagens/types_tag/grass.png
47,parasect,142,10,295,effect-spore,"Whenever a move makes contact with this Pokémon, the move's user has a 30% chance of being paralyzed, poisoned, or put to sleep, chosen at random. Nothing is done to compensate if the move's user is immune to one of these ailments; there is simply a lower chance that the move's user will be affected.",False,dry-skin,"This Pokémon takes 1/8 of its maximum HP in damage after each turn during strong sunlight, but it heals for 1/8 of its HP each turn during rain. This Pokémon takes 1.25× as much damage from fire-type moves, but whenever a water move hits it, it heals for 1/4 its maximum HP instead.",False,60,95,80,60,80,30,405,bug,grass,70,75,paras,,,,0.5,generation-i,medium,damp,"While this Pokémon is in battle, self destruct and explosion will fail and aftermath will not take effect.",True,https://github.com/Nackha1/Hd-sprites/blob/master/Parasect.gif?raw=true,https://raw.githubusercontent.com/mhirokitomida/pokedash/main/pokemon_cries/047 - Parasect.wav,https://raw.githubusercontent.com/mhirokitomida/pokedash/main/imagens/types_tag/bug.png,https://raw.githubusercontent.com/mhirokitomida/pokedash/main/imagens/types_tag/grass.png
48,venonat,61,10,300,compound-eyes,"This Pokémon's moves have 1.3× their accuracy. This ability has no effect on the one-hit KO moves (fissure, guillotine, horn drill, and sheer cold). Overworld: If the first Pokémon in the party has this ability, the chance of a wild Pokémon holding a particular item is raised from 50%, 5%, or 1% to 60%, 20%, or 5%, respectively.",False,tinted-lens,This Pokémon deals twice as much damage with moves that are not very effective against the target.,False,60,55,50,40,55,45,305,bug,poison,70,190,,venomoth,,,0.5,generation-i,medium,run-away,"This Pokémon is always successful fleeing from wild battles, even if trapped by a move or ability.",True,https://github.com/Nackha1/Hd-sprites/blob/master/Venonat.gif?raw=true,https://raw.githubusercontent.com/mhirokitomida/pokedash/main/pokemon_cries/048 - Venonat.wav,https://raw.githubusercontent.com/mhirokitomida/pokedash/main/imagens/types_tag/bug.png,https://raw.githubusercontent.com/mhirokitomida/pokedash/main/imagens/types_tag/poison.png
49,venomoth,158,15,125,shield-dust,"This Pokémon is immune to the extra effects of moves used against it. An extra effect is a move's chance, listed as an ""effect chance"", to inflict a status ailment, cause a stat change, or make the target flinch in addition to the move's main effect. For example, thunder shock's paralysis is an extra effect, but thunder wave's is not, nor are knock off's item removal and air cutter's increased critical hit rate.",False,tinted-lens,This Pokémon deals twice as much damage with moves that are not very effective against the target.,False,70,65,60,90,75,90,450,bug,poison,70,75,venonat,,,,0.5,generation-i,medium,wonder-skin,Non-damaging moves have exactly 50% base accuracy against this Pokémon.,True,https://github.com/Nackha1/Hd-sprites/blob/master/Venomoth.gif?raw=true,https://raw.githubusercontent.com/mhirokitomida/pokedash/main/pokemon_cries/049 - Venomoth.wav,https://raw.githubusercontent.com/mhirokitomida/pokedash/main/imagens/types_tag/bug.png,https://raw.githubusercontent.com/mhirokitomida/pokedash/main/imagens/types_tag/poison.png
50,diglett,53,2,8,sand-veil,"During a sandstorm, this Pokémon has 1.25× its evasion, and it does not take sandstorm damage regardless of type. The evasion bonus does not count as a stat modifier. Overworld: If the lead Pokémon has this ability, the wild encounter rate is halved in a sandstorm.",False,arena-trap,"While this Pokémon is in battle, opposing Pokémon cannot flee or switch out. flying-type Pokémon and Pokémon in the air, e.g. due to levitate or magnet rise, are unaffected. Pokémon with run away can still flee. Pokémon can still switch out with the use of a move or item. Overworld: If the lead Pokémon has this ability, the wild encounter rate is doubled.",False,10,55,25,35,45,95,265,ground,,50,255,,dugtrio,,,0.5,generation-i,medium,sand-force,"During a sandstorm, this Pokémon's rock-, ground-, and steel-type moves have 1.3× their base power. This Pokémon does not take sandstorm damage, regardless of type.",True,https://github.com/Nackha1/Hd-sprites/blob/master/Diglett.gif?raw=true,https://raw.githubusercontent.com/mhirokitomida/pokedash/main/pokemon_cries/050 - Diglett.wav,https://raw.githubusercontent.com/mhirokitomida/pokedash/main/imagens/types_tag/ground.png,
51,dugtrio,149,7,333,sand-veil,"During a sandstorm, this Pokémon has 1.25× its evasion, and it does not take sandstorm damage regardless of type. The evasion bonus does not count as a stat modifier. Overworld: If the lead Pokémon has this ability, the wild encounter rate is halved in a sandstorm.",False,arena-trap,"While this Pokémon is in battle, opposing Pokémon cannot flee or switch out. flying-type Pokémon and Pokémon in the air, e.g. due to levitate or magnet rise, are unaffected. Pokémon with run away can still flee. Pokémon can still switch out with the use of a move or item. Overworld: If the lead Pokémon has this ability, the wild encounter rate is doubled.",False,35,100,50,50,70,120,425,ground,,50,50,diglett,,,,0.5,generation-i,medium,sand-force,"During a sandstorm, this Pokémon's rock-, ground-, and steel-type moves have 1.3× their base power. This Pokémon does not take sandstorm damage, regardless of type.",True,https://github.com/Nackha1/Hd-sprites/blob/master/Dugtrio.gif?raw=true,https://raw.githubusercontent.com/mhirokitomida/pokedash/main/pokemon_cries/051 - Dugtrio.wav,https://raw.githubusercontent.com/mhirokitomida/pokedash/main/imagens/types_tag/ground.png,
52,meowth,58,4,42,pickup,"At the end of each turn, if another Pokémon consumed or Flung a held item that turn, this Pokémon picks up the item if it is not already holding one. After each battle, this Pokémon has a 10% chance of picking up an item if it is not already holding one. The air balloon and eject button cannot be picked up. The items that may be found vary by game, and, since Pokémon Emerald, by the Pokémon's level. This ability is checked after the battle ends, at which point any temporary ability changes have worn off.",False,technician,"This Pokémon's moves have 1.5× their power if their base power is 60 or less. This includes moves of variable power, such as hidden power and magnitude, when their power is 60 or less. helping hand's power boost is taken into account for any move, as is defense curl's power boost for rollout.",False,40,45,35,40,40,90,290,normal,,50,255,,persian,,,0.5,generation-i,medium,unnerve,Opposing Pokémon cannot eat held Berries while this Pokémon is in battle. Affected Pokémon can still use bug bite or pluck to eat a target's Berry.,True,https://github.com/Nackha1/Hd-sprites/blob/master/Meowth.gif?raw=true,https://raw.githubusercontent.com/mhirokitomida/pokedash/main/pokemon_cries/052 - Meowth.wav,https://raw.githubusercontent.com/mhirokitomida/pokedash/main/imagens/types_tag/normal.png,
53,persian,154,10,320,limber,"This Pokémon cannot be paralyzed. If a Pokémon is paralyzed and acquires this ability, its paralysis is healed; this includes when regaining a lost ability upon leaving battle.",False,technician,"This Pokémon's moves have 1.5× their power if their base power is 60 or less. This includes moves of variable power, such as hidden power and magnitude, when their power is 60 or less. helping hand's power boost is taken into account for any move, as is defense curl's power boost for rollout.",False,65,70,60,65,65,115,440,normal,,50,90,meowth,,,,0.5,generation-i,medium,unnerve,Opposing Pokémon cannot eat held Berries while this Pokémon is in battle. Affected Pokémon can still use bug bite or pluck to eat a target's Berry.,True,https://github.com/Nackha1/Hd-sprites/blob/master/Persian.gif?raw=true,https://raw.githubusercontent.com/mhirokitomida/pokedash/main/pokemon_cries/053 - Persian.wav,https://raw.githubusercontent.com/mhirokitomida/pokedash/main/imagens/types_tag/normal.png,
54,psyduck,64,8,196,damp,"While this Pokémon is in battle, self destruct and explosion will fail and aftermath will not take effect.",False,cloud-nine,"While this Pokémon is in battle, weather can still be in play, but will not have any of its effects. This ability functions identically to air lock.",False,50,52,48,65,50,55,320,water,,50,190,,golduck,,,0.5,generation-i,medium,swift-swim,This Pokémon's Speed is doubled during rain. This bonus does not count as a stat modifier.,True,https://github.com/Nackha1/Hd-sprites/blob/master/Psyduck.gif?raw=true,https://raw.githubusercontent.com/mhirokitomida/pokedash/main/pokemon_cries/054 - Psyduck.wav,https://raw.githubusercontent.com/mhirokitomida/pokedash/main/imagens/types_tag/water.png,
55,golduck,175,17,766,damp,"While this Pokémon is in battle, self destruct and explosion will fail and aftermath will not take effect.",False,cloud-nine,"While this Pokémon is in battle, weather can still be in play, but will not have any of its effects. This ability functions identically to air lock.",False,80,82,78,95,80,85,500,water,,50,75,psyduck,,,,0.5,generation-i,medium,swift-swim,This Pokémon's Speed is doubled during rain. This bonus does not count as a stat modifier.,True,https://github.com/Nackha1/Hd-sprites/blob/master/Golduck.gif?raw=true,https://raw.githubusercontent.com/mhirokitomida/pokedash/main/pokemon_cries/055 - Golduck.wav,https://raw.githubusercontent.com/mhirokitomida/pokedash/main/imagens/types_tag/water.png,
56,mankey,61,5,280,vital-spirit,"This Pokémon cannot be asleep. This causes rest to fail altogether. If a Pokémon is asleep and acquires this ability, it will immediately wake up; this includes when regaining a lost ability upon leaving battle. This ability functions identically to insomnia in battle. Overworld: If the lead Pokémon has this ability, higher-levelled Pokémon have their encounter rate increased.",False,anger-point,"Whenever this Pokémon receives a critical hit, its Attack rises to the maximum of 6 stages. This ability will still take effect if the critical hit is received by a substitute.",False,40,80,35,35,45,70,305,fighting,,70,190,,primeape,,,0.5,generation-i,medium,defiant,"When any of this Pokémon's stats are lowered, its Attack rises by two stages. If multiple stats are lowered at once, this ability takes effect with each stat lowered.",True,https://github.com/Nackha1/Hd-sprites/blob/master/Mankey.gif?raw=true,https://raw.githubusercontent.com/mhirokitomida/pokedash/main/pokemon_cries/056 - Mankey.wav,https://raw.githubusercontent.com/mhirokitomida/pokedash/main/imagens/types_tag/fighting.png,
57,primeape,159,10,320,vital-spirit,"This Pokémon cannot be asleep. This causes rest to fail altogether. If a Pokémon is asleep and acquires this ability, it will immediately wake up; this includes when regaining a lost ability upon leaving battle. This ability functions identically to insomnia in battle. Overworld: If the lead Pokémon has this ability, higher-levelled Pokémon have their encounter rate increased.",False,anger-point,"Whenever this Pokémon receives a critical hit, its Attack rises to the maximum of 6 stages. This ability will still take effect if the critical hit is received by a substitute.",False,65,105,60,60,70,95,455,fighting,,70,75,mankey,,,,0.5,generation-i,medium,defiant,"When any of this Pokémon's stats are lowered, its Attack rises by two stages. If multiple stats are lowered at once, this ability takes effect with each stat lowered.",True,https://github.com/Nackha1/Hd-sprites/blob/master/Primeape.gif?raw=true,https://raw.githubusercontent.com/mhirokitomida/pokedash/main/pokemon_cries/057 - Primeape.wav,https://raw.githubusercontent.com/mhirokitomida/pokedash/main/imagens/types_tag/fighting.png,
58,growlithe,70,7,190,intimidate,"When this Pokémon enters battle, the opponent's Attack is lowered by one stage. In a double battle, both opponents are affected. This ability also takes effect when acquired during a battle, but will not take effect again if lost and reobtained without leaving battle. This ability has no effect on an opponent that has a substitute. Overworld: If the first Pokémon in the party has this ability, any random encounter with a Pokémon five or more levels lower than it has a 50% chance of being skipped.",False,flash-fire,"This Pokémon is immune to fire-type moves. Once this Pokémon has been hit by a Fire move, its own Fire moves will inflict 1.5× as much damage until it leaves battle. This ability has no effect while the Pokémon is frozen. The Fire damage bonus is retained even if the Pokémon is frozen and thawed or the ability is lost or disabled. Fire moves will ignore this Pokémon's substitute. This ability takes effect even on non-damaging moves, i.e. will o wisp.",False,55,70,45,70,50,60,350,fire,,50,190,,arcanine,,,0.25,generation-i,slow,justified,"Whenever a dark-type move hits this Pokémon, its Attack rises one stage. The move is not negated in any way.",True,https://github.com/Nackha1/Hd-sprites/blob/master/Growlithe.gif?raw=true,https://raw.githubusercontent.com/mhirokitomida/pokedash/main/pokemon_cries/058 - Growlithe.wav,https://raw.githubusercontent.com/mhirokitomida/pokedash/main/imagens/types_tag/fire.png,
59,arcanine,194,19,1550,intimidate,"When this Pokémon enters battle, the opponent's Attack is lowered by one stage. In a double battle, both opponents are affected. This ability also takes effect when acquired during a battle, but will not take effect again if lost and reobtained without leaving battle. This ability has no effect on an opponent that has a substitute. Overworld: If the first Pokémon in the party has this ability, any random encounter with a Pokémon five or more levels lower than it has a 50% chance of being skipped.",False,flash-fire,"This Pokémon is immune to fire-type moves. Once this Pokémon has been hit by a Fire move, its own Fire moves will inflict 1.5× as much damage until it leaves battle. This ability has no effect while the Pokémon is frozen. The Fire damage bonus is retained even if the Pokémon is frozen and thawed or the ability is lost or disabled. Fire moves will ignore this Pokémon's substitute. This ability takes effect even on non-damaging moves, i.e. will o wisp.",False,90,110,80,100,80,95,555,fire,,50,75,growlithe,,,,0.25,generation-i,slow,justified,"Whenever a dark-type move hits this Pokémon, its Attack rises one stage. The move is not negated in any way.",True,https://github.com/Nackha1/Hd-sprites/blob/master/Arcanine.gif?raw=true,https://raw.githubusercontent.com/mhirokitomida/pokedash/main/pokemon_cries/059 - Arcanine.wav,https://raw.githubusercontent.com/mhirokitomida/pokedash/main/imagens/types_tag/fire.png,
60,poliwag,60,6,124,water-absorb,"Whenever a water-type move hits this Pokémon, it heals for 1/4 of its maximum HP, negating any other effect on it. Water moves will ignore this Pokémon's substitute.",False,damp,"While this Pokémon is in battle, self destruct and explosion will fail and aftermath will not take effect.",False,40,50,40,40,40,90,300,water,,50,255,,poliwhirl,,,0.5,generation-i,medium-slow,swift-swim,This Pokémon's Speed is doubled during rain. This bonus does not count as a stat modifier.,True,https://github.com/Nackha1/Hd-sprites/blob/master/Poliwag.gif?raw=true,https://raw.githubusercontent.com/mhirokitomida/pokedash/main/pokemon_cries/060 - Poliwag.wav,https://raw.githubusercontent.com/mhirokitomida/pokedash/main/imagens/types_tag/water.png,
61,poliwhirl,135,10,200,water-absorb,"Whenever a water-type move hits this Pokémon, it heals for 1/4 of its maximum HP, negating any other effect on it. Water moves will ignore this Pokémon's substitute.",False,damp,"While this Pokémon is in battle, self destruct and explosion will fail and aftermath will not take effect.",False,65,65,65,50,50,90,385,water,,50,120,poliwag,poliwrath,,,0.5,generation-i,medium-slow,swift-swim,This Pokémon's Speed is doubled during rain. This bonus does not count as a stat modifier.,True,https://github.com/Nackha1/Hd-sprites/blob/master/Poliwhirl.gif?raw=true,https://raw.githubusercontent.com/mhirokitomida/pokedash/main/pokemon_cries/061 - Poliwhirl.wav,https://raw.githubusercontent.com/mhirokitomida/pokedash/main/imagens/types_tag/water.png,
62,poliwrath,255,13,540,water-absorb,"Whenever a water-type move hits this Pokémon, it heals for 1/4 of its maximum HP, negating any other effect on it. Water moves will ignore this Pokémon's substitute.",False,damp,"While this Pokémon is in battle, self destruct and explosion will fail and aftermath will not take effect.",False,90,95,95,70,90,70,510,water,fighting,50,45,poliwhirl,,,,0.5,generation-i,medium-slow,swift-swim,This Pokémon's Speed is doubled during rain. This bonus does not count as a stat modifier.,True,https://github.com/Nackha1/Hd-sprites/blob/master/Poliwrath.gif?raw=true,https://raw.githubusercontent.com/mhirokitomida/pokedash/main/pokemon_cries/062 - Poliwrath.wav,https://raw.githubusercontent.com/mhirokitomida/pokedash/main/imagens/types_tag/water.png,https://raw.githubusercontent.com/mhirokitomida/pokedash/main/imagens/types_tag/fighting.png
